model,total_numeric,total_formula,total_units,total_score,tokens_in_total,tokens_out_total,tokens_total,total_cost($),total_cost_rounded
anthropic/claude-opus-4.7,12,1,19,32,20995,4567,25562,0.224385,0.3
anthropic/claude-sonnet-4.5,11,0,19,30,14919,11316,26235,0.213738,0.3
deepseek/deepseek-r1,14,1,19,34,13761,110147,123908,0.308703965,0.4
deepseek/deepseek-v3.2-speciale,12,1,19,32,13632,214295,227927,0.2626068,0.3
google/gemini-2.5-pro,10,2,16,28,14099,111582,125681,1.1620125,1.2
google/gemini-3.1-pro-preview,11,1,21,33,14096,78611,92707,0.971524,1
google/gemma-4-31b-it,3,1,20,24,14396,1435,15831,0.00277213,0.1
meta-llama/llama-4-maverick,7,0,17,24,12993,1128,14121,0.00408208,0.1
microsoft/phi-4,4,1,15,20,13368,1813,15181,0.00118322,0.1
mistralai/ministral-14b-2512,3,0,14,17,13627,2079,15706,0.0040231,0.1
mistralai/pixtral-large-2411,3,1,17,21,16525,1616,18141,0.043652,0.1
moonshotai/kimi-k2.5,13,1,18,32,13328,131205,144533,0.36168271,0.4
moonshotai/kimi-k2.6,10,2,16,28,13265,204507,217772,0.853034699,0.9
nvidia/llama-3.3-nemotron-super-49b-v1.5,11,1,19,31,13037,113261,126298,0.0466081,0.1
openai/gpt-5.4,6,0,14,20,12848,2115,14963,0.06362,0.1
openai/gpt-5.4-pro,11,1,18,30,12848,31257,44105,6.25794,6.3
openai/gpt-oss-120b,13,0,17,30,14251,25444,39695,0.01049399,0.1
openai/o4-mini-high,12,2,17,31,12848,91203,104051,0.4282586,0.5
qwen/qwen3.5-397b-a17b,12,1,16,29,13646,160387,174033,0.45582791,0.5
qwen/qwen3.6-plus,15,0,21,36,13646,103298,116944,0.21217625,0.3
stepfun/step-3.5-flash,10,0,17,27,13635,517247,530882,0.15653215,0.2
x-ai/grok-4.20,3,1,19,23,15560,1024,16584,0.0335591,0.1
xiaomi/mimo-v2.5-pro,12,2,17,31,19004,134093,153097,0.4384097862,0.5
