model,total_numeric,total_formula,total_units,total_score,tokens_in_total,tokens_out_total,tokens_total,total_cost($),total_cost_rounded
anthropic/claude-opus-4.7,9,0,19,28,21116,4536,25652,0.21898,0.3
x-ai/grok-4.20,3,1,19,23,15643,1004,16647,0.020373,0.1
openai/gpt-5.4,3,0,14,17,12916,1919,14835,0.061069,0.1
moonshotai/kimi-k2.5,9,0,20,29,13383,137482,150865,0.337464,0.4
anthropic/claude-sonnet-4.5,8,0,13,21,15222,12492,27714,0.233046,0.3
google/gemma-4-31b-it,4,0,20,24,14663,1436,16099,0.003053,0.1
google/gemini-2.5-pro,9,0,14,23,14363,103777,118140,1.055712,1.1
qwen/qwen3.5-397b-a17b,7,1,20,28,13942,132998,146940,0.455893,0.5
deepseek/deepseek-r1,8,1,17,26,13740,100805,114545,0.3878,0.4
mistralai/pixtral-large-2411,0,0,0,0,0,0,0,0,0
qwen/qwen3.6-plus,9,2,20,31,13942,97793,111735,0.195214,0.2
openai/gpt-5.4-pro,8,0,18,26,12916,27113,40029,5.26782,5.3
deepseek/deepseek-v3.2-speciale,0,0,0,0,0,0,0,0,0
mistralai/ministral-14b-2512,1,0,15,16,13682,1694,15376,0.003528,0.1
google/gemini-3.1-pro-preview,8,1,21,30,14352,64722,79074,0.805368,0.9
xiaomi/mimo-v2.5-pro,8,0,19,27,19116,168610,187726,0.152925,0.2
moonshotai/kimi-k2.6,7,1,17,25,13347,182982,196329,0.70678,0.8
openai/o4-mini-high,10,1,19,30,12916,64763,77679,0.299155,0.3
stepfun/step-3.5-flash,5,1,17,23,13717,452794,432955,0.1372,0.2
meta-llama/llama-4-maverick,6,0,16,22,12828,1148,13976,0.005624,0.1
openai/gpt-oss-120b,8,0,16,24,14343,27028,41371,0.009048,0.1
nvidia/llama-3.3-nemotron-super-49b-v1.5,7,0,18,25,13129,137726,150855,0.056393,0.1
microsoft/phi-4,1,0,14,15,14829,1275,16104,0.001153,0.1
