model,total_numeric,total_formula,total_units,total_score,tokens_in_total,tokens_out_total,tokens_total,total_cost($),total_cost_rounded
anthropic/claude-opus-4.7,9,0,20,29,59860,2898,62758,0.37175,0.4
x-ai/grok-4.20,3,0,19,22,41726,1044,42770,0.053077,0.1
openai/gpt-5.4,7,0,16,23,40850,2298,43148,0.132845,0.2
moonshotai/kimi-k2.5,12,1,19,32,40223,123838,164061,0.305114,0.4
anthropic/claude-sonnet-4.5,12,0,20,32,47510,14818,62328,0.3648,0.4
google/gemma-4-31b-it,3,0,20,23,45116,1659,46775,0.0088,0.1
google/gemini-2.5-pro,11,0,18,29,43630,101408,145038,1.068608,1.1
qwen/qwen3.5-397b-a17b,10,0,18,28,44426,158041,202467,0.550775,0.6
deepseek/deepseek-r1,11,0,18,29,40036,109607,149643,0.442276,0.5
mistralai/pixtral-large-2411,0,0,0,0,0,0,0,0,0
qwen/qwen3.6-plus,13,0,21,34,44474,96372,140846,0.202368,0.3
openai/gpt-5.4-pro,12,0,18,30,40890,39105,79995,8.2656,8.3
deepseek/deepseek-v3.2-speciale,0,0,0,0,0,0,0,0,0
mistralai/ministral-14b-2512,3,0,15,18,41961,1999,43960,0.009578,0.1
google/gemini-3.1-pro-preview,10,2,21,33,44786,69454,114240,0.92302,1
xiaomi/mimo-v2.5-pro,10,0,18,28,48692,142398,191090,0.137932,0.2
moonshotai/kimi-k2.6,11,0,18,29,40150,187910,228060,0.727329,0.8
openai/o4-mini-high,10,1,19,30,40790,63225,104015,0.318614,0.4
stepfun/step-3.5-flash,9,0,15,24,40097,403305,443402,0.12497,0.2
meta-llama/llama-4-maverick,6,0,19,25,39115,1103,40218,0.012461,0.1
openai/gpt-oss-120b,10,0,18,28,42219,22207,64426,0.012097,0.1
nvidia/llama-3.3-nemotron-super-49b-v1.5,9,0,19,28,40959,122124,163083,0.052934,0.1
microsoft/phi-4,0,0,15,15,42481,2800,45281,0.003291,0.1
